Login_page,Class,Status,DOD,Last_update_date
3943541,Business,complete,7/12/2016 12:00:00 AM,
3942721,Economy,complete,7/12/2016 12:00:00 AM,
3897027,Premium Economy,complete,7/12/2016 12:00:00 AM,
3526176,Premium Economy,complete,7/12/2016 12:00:00 AM,
2716890,Premium Economy,complete,7/12/2016 12:00:00 AM,
4015140,Economy,complete,7/12/2016 12:00:00 AM,
4009919,Economy,complete,7/12/2016 12:00:00 AM,
4011868,Premium Economy,complete,7/12/2016 12:00:00 AM,
4303496,Economy,complete,7/12/2016 12:00:00 AM,
3359997,Business,complete,7/12/2016 12:00:00 AM,
3389616,Premium Economy,complete,7/12/2016 12:00:00 AM,
2691709,Business,complete,7/12/2016 12:00:00 AM,
3943864,Economy,complete,7/12/2016 12:00:00 AM,
2691708,Business,complete,7/12/2016 12:00:00 AM,
3965956,Premium Economy,complete,7/12/2016 12:00:00 AM,
4026567,Business,complete,7/12/2016 12:00:00 AM,
4031579,Business,complete,7/12/2016 12:00:00 AM,
2691736,Business,complete,7/12/2016 12:00:00 AM,
4026565,Economy,complete,7/12/2016 12:00:00 AM,
4086706,Economy,complete,7/12/2016 12:00:00 AM,
3389686,Business,complete,7/12/2016 12:00:00 AM,
3884346,Economy,complete,7/12/2016 12:00:00 AM,
3945063,Economy,complete,7/12/2016 12:00:00 AM,
3602108,Business,complete,7/12/2016 12:00:00 AM,
3892869,Economy,complete,7/12/2016 12:00:00 AM,
3928857,Premium Economy,complete,7/12/2016 12:00:00 AM,
4057900,Premium Economy,complete,7/12/2016 12:00:00 AM,
4010313,Economy,complete,7/12/2016 12:00:00 AM,
3167784,Economy,complete,7/12/2016 12:00:00 AM,
4006129,Economy,complete,7/12/2016 12:00:00 AM,
3980891,Business,complete,7/12/2016 12:00:00 AM,
3965961,Economy,complete,7/12/2016 12:00:00 AM,
4086605,Economy,complete,7/12/2016 12:00:00 AM,
3389573,Economy,complete,7/12/2016 12:00:00 AM,
4015747,Economy,complete,7/12/2016 12:00:00 AM,
4086519,Premium Economy,complete,7/12/2016 12:00:00 AM,
3944156,Economy,complete,7/12/2016 12:00:00 AM,
3720414,Economy,complete,7/12/2016 12:00:00 AM,
